experiment,fold,train_accuracy,test_accuracy,val_accuracy,test_precision,test_recall,test_f1,val_precision,val_recall,val_f1,timeuse
th(0.1),1,0.999359609124384,0.999482833405625,0.999306272012523,0.838235294117647,0.74025974025974,0.786206896551724,0.803738317757009,0.826923076923077,0.815165876777251,26.3383359909058
th(0.1),2,0.999490065164928,0.999449467818892,0.999412978511456,0.814285714285714,0.74025974025974,0.775510204081633,0.851485148514851,0.826923076923077,0.839024390243902,25.4658660888672
th(0.1),3,0.99924696116217,0.999299322678589,0.999252868451481,0.721518987341772,0.74025974025974,0.730769230769231,0.769911504424779,0.844660194174757,0.805555555555555,25.4703929424286
th(0.1),4,0.999347757769094,0.999399419438791,0.999163939092073,0.805970149253731,0.701298701298701,0.75,0.776699029126214,0.769230769230769,0.772946859903382,25.3976259231567
th(0.2),1,0.999359609124384,0.999482833405625,0.999306272012523,0.838235294117647,0.74025974025974,0.786206896551724,0.803738317757009,0.826923076923077,0.815165876777251,27.0035150051117
th(0.2),2,0.999490065164928,0.999449467818892,0.999412978511456,0.814285714285714,0.74025974025974,0.775510204081633,0.851485148514851,0.826923076923077,0.839024390243902,26.1127741336823
th(0.2),3,0.999353691076193,0.999299322678589,0.999377390376234,0.721518987341772,0.74025974025974,0.730769230769231,0.833333333333333,0.825242718446602,0.829268292682927,26.1680810451508
th(0.2),4,0.999347757769094,0.999399419438791,0.999163939092073,0.805970149253731,0.701298701298701,0.75,0.776699029126214,0.769230769230769,0.772946859903382,26.1160750389099
th(0.3),1,0.999466340936987,0.999482833405625,0.999395211498097,0.838235294117647,0.74025974025974,0.786206896551724,0.85,0.817307692307692,0.833333333333333,27.5693621635437
th(0.3),2,0.999490065164928,0.999449467818892,0.999412978511456,0.814285714285714,0.74025974025974,0.775510204081633,0.851485148514851,0.826923076923077,0.839024390243902,26.8309841156006
th(0.3),3,0.999430773791877,0.99934937105869,0.999412968069021,0.779411764705882,0.688311688311688,0.731034482758621,0.888888888888889,0.776699029126214,0.829015544041451,26.9186429977417
th(0.3),4,0.999430770416664,0.999399419438791,0.999288458801765,0.805970149253731,0.701298701298701,0.75,0.855555555555556,0.740384615384615,0.793814432989691,26.7528848648071
th(0.4),1,0.999466340936987,0.999482833405625,0.999395211498097,0.838235294117647,0.74025974025974,0.786206896551724,0.85,0.817307692307692,0.833333333333333,28.2815570831299
th(0.4),2,0.999490065164928,0.999449467818892,0.999412978511456,0.814285714285714,0.74025974025974,0.775510204081633,0.851485148514851,0.826923076923077,0.839024390243902,27.5271730422974
th(0.4),3,0.999430773791877,0.99934937105869,0.999412968069021,0.779411764705882,0.688311688311688,0.731034482758621,0.888888888888889,0.776699029126214,0.829015544041451,27.6160619258881
th(0.4),4,0.999430770416664,0.999399419438791,0.999288458801765,0.805970149253731,0.701298701298701,0.75,0.855555555555556,0.740384615384615,0.793814432989691,27.443069934845
th(0.5),1,0.999466340936987,0.999482833405625,0.999395211498097,0.838235294117647,0.74025974025974,0.786206896551724,0.85,0.817307692307692,0.833333333333333,28.9175579547882
th(0.5),2,0.999490065164928,0.999449467818892,0.999412978511456,0.814285714285714,0.74025974025974,0.775510204081633,0.851485148514851,0.826923076923077,0.839024390243902,28.5977461338043
th(0.5),3,0.999430773791877,0.99934937105869,0.999412968069021,0.779411764705882,0.688311688311688,0.731034482758621,0.888888888888889,0.776699029126214,0.829015544041451,28.3400559425354
th(0.5),4,0.999460417790796,0.999416102232158,0.999288458801765,0.862068965517241,0.649350649350649,0.740740740740741,0.890243902439024,0.701923076923077,0.78494623655914,28.1540849208832
th(0.6),1,0.999466340936987,0.999482833405625,0.999395211498097,0.838235294117647,0.74025974025974,0.786206896551724,0.85,0.817307692307692,0.833333333333333,29.5479221343994
th(0.6),2,0.999490065164928,0.999449467818892,0.999412978511456,0.814285714285714,0.74025974025974,0.775510204081633,0.851485148514851,0.826923076923077,0.839024390243902,29.3134980201721
th(0.6),3,0.999430773791877,0.99934937105869,0.999412968069021,0.779411764705882,0.688311688311688,0.731034482758621,0.888888888888889,0.776699029126214,0.829015544041451,29.0491399765015
th(0.6),4,0.999460417790796,0.999416102232158,0.999288458801765,0.862068965517241,0.649350649350649,0.740740740740741,0.890243902439024,0.701923076923077,0.78494623655914,28.8403308391571
th(0.7),1,0.999466340936987,0.999482833405625,0.999395211498097,0.838235294117647,0.74025974025974,0.786206896551724,0.85,0.817307692307692,0.833333333333333,30.2907340526581
th(0.7),2,0.999442629366317,0.999399419438791,0.99930624733172,0.859649122807018,0.636363636363636,0.73134328358209,0.857142857142857,0.75,0.8,29.9826550483704
th(0.7),3,0.999430773791877,0.99934937105869,0.999412968069021,0.779411764705882,0.688311688311688,0.731034482758621,0.888888888888889,0.776699029126214,0.829015544041451,30.1241710186005
th(0.7),4,0.999460417790796,0.999416102232158,0.999288458801765,0.862068965517241,0.649350649350649,0.740740740740741,0.890243902439024,0.701923076923077,0.78494623655914,29.5536308288574
th(0.8),1,0.999377397759818,0.999332688265323,0.999341847806752,0.877551020408163,0.558441558441558,0.682539682539683,0.868131868131868,0.759615384615385,0.81025641025641,30.9205710887909
th(0.8),2,0.999442629366317,0.999399419438791,0.99930624733172,0.859649122807018,0.636363636363636,0.73134328358209,0.857142857142857,0.75,0.8,30.6216430664062
th(0.8),3,0.999359620515861,0.999299322678589,0.999341812683447,0.818181818181818,0.584415584415584,0.681818181818182,0.9125,0.70873786407767,0.797814207650273,30.7622518539429
th(0.8),4,0.999335898819442,0.999249274298489,0.999235093211897,0.970588235294118,0.428571428571429,0.594594594594595,0.896103896103896,0.663461538461538,0.762430939226519,30.6470010280609
th(0.9),1,0.99913428640889,0.999265957091856,0.99911060514426,0.923076923076923,0.467532467532468,0.620689655172414,0.885714285714286,0.596153846153846,0.71264367816092,31.5545551776886
th(0.9),2,0.999063142977426,0.999165860331654,0.999021630852426,0.909090909090909,0.38961038961039,0.545454545454545,0.901639344262295,0.528846153846154,0.666666666666667,31.336709022522
th(0.9),3,0.999110584049807,0.999099129158186,0.999003824601975,0.96,0.311688311688312,0.470588235294118,0.979591836734694,0.466019417475728,0.631578947368421,31.8553030490875
th(0.9),4,0.999335898819442,0.999249274298489,0.999235093211897,0.970588235294118,0.428571428571429,0.594594594594595,0.896103896103896,0.663461538461538,0.762430939226519,31.2790749073029
th(1),1,0.998155911460032,0.998715424910747,0.99815005870006,0,0,0,0,0,0,32.269819021225
th(1),2,0.998155933328985,0.998715424910747,0.998149992884588,0,0,0,0,0,0,32.0602850914001
th(1),3,0.998150014823599,0.998715424910747,0.998167748821489,0,0,0,0,0,0,32.4780960083008
th(1),4,0.998155933328985,0.998715424910747,0.998149992884588,0,0,0,0,0,0,31.9640300273895
