experiment,fold,train_accuracy,test_accuracy,val_accuracy,test_precision,test_recall,test_f1,val_precision,val_recall,val_f1,timeuse
baseline,1,0.999466340936987,0.999482833405625,0.999395211498097,0.838235294117647,0.74025974025974,0.786206896551724,0.85,0.817307692307692,0.833333333333333,33.93492603302
baseline,2,0.999490065164928,0.999449467818892,0.999412978511456,0.814285714285714,0.74025974025974,0.775510204081633,0.851485148514851,0.826923076923077,0.839024390243902,32.7553918361664
baseline,3,0.999430773791877,0.99934937105869,0.999412968069021,0.779411764705882,0.688311688311688,0.731034482758621,0.888888888888889,0.776699029126214,0.829015544041451,34.6814160346985
baseline,4,0.999460417790796,0.999416102232158,0.999288458801765,0.862068965517241,0.649350649350649,0.740740740740741,0.890243902439024,0.701923076923077,0.78494623655914,36.8830261230469
remove time,1,0.999466340936987,0.999482833405625,0.999395211498097,0.838235294117647,0.74025974025974,0.786206896551724,0.85,0.817307692307692,0.833333333333333,34.5428540706635
remove time,2,0.999490065164928,0.999449467818892,0.999412978511456,0.814285714285714,0.74025974025974,0.775510204081633,0.851485148514851,0.826923076923077,0.839024390243902,33.7480351924896
remove time,3,0.999430773791877,0.99934937105869,0.999412968069021,0.779411764705882,0.688311688311688,0.731034482758621,0.888888888888889,0.776699029126214,0.829015544041451,32.7655808925629
remove time,4,0.999460417790796,0.999416102232158,0.999288458801765,0.862068965517241,0.649350649350649,0.740740740740741,0.890243902439024,0.701923076923077,0.78494623655914,30.6321492195129
time(log),1,0.999466340936987,0.999482833405625,0.999395211498097,0.838235294117647,0.74025974025974,0.786206896551724,0.85,0.817307692307692,0.833333333333333,34.0465500354767
time(log),2,0.999490065164928,0.999449467818892,0.999412978511456,0.814285714285714,0.74025974025974,0.775510204081633,0.851485148514851,0.826923076923077,0.839024390243902,33.5617160797119
time(log),3,0.999430773791877,0.99934937105869,0.999412968069021,0.779411764705882,0.688311688311688,0.731034482758621,0.888888888888889,0.776699029126214,0.829015544041451,29.3777258396149
time(log),4,0.999460417790796,0.999416102232158,0.999288458801765,0.862068965517241,0.649350649350649,0.740740740740741,0.890243902439024,0.701923076923077,0.78494623655914,31.0592601299286
time(min_max_norm),1,0.999466340936987,0.999482833405625,0.999395211498097,0.838235294117647,0.74025974025974,0.786206896551724,0.85,0.817307692307692,0.833333333333333,33.5010409355164
time(min_max_norm),2,0.999490065164928,0.999449467818892,0.999412978511456,0.814285714285714,0.74025974025974,0.775510204081633,0.851485148514851,0.826923076923077,0.839024390243902,30.9392070770264
time(min_max_norm),3,0.999430773791877,0.99934937105869,0.999412968069021,0.779411764705882,0.688311688311688,0.731034482758621,0.888888888888889,0.776699029126214,0.829015544041451,26.9617519378662
time(min_max_norm),4,0.999460417790796,0.999416102232158,0.999288458801765,0.862068965517241,0.649350649350649,0.740740740740741,0.890243902439024,0.701923076923077,0.78494623655914,25.460932970047
time(zscore_norm),1,0.999466340936987,0.999482833405625,0.999395211498097,0.838235294117647,0.74025974025974,0.786206896551724,0.85,0.817307692307692,0.833333333333333,25.2588129043579
time(zscore_norm),2,0.999490065164928,0.999449467818892,0.999412978511456,0.814285714285714,0.74025974025974,0.775510204081633,0.851485148514851,0.826923076923077,0.839024390243902,26.7262279987335
time(zscore_norm),3,0.999430773791877,0.99934937105869,0.999412968069021,0.779411764705882,0.688311688311688,0.731034482758621,0.888888888888889,0.776699029126214,0.829015544041451,30.5341320037842
time(zscore_norm),4,0.999460417790796,0.999416102232158,0.999288458801765,0.862068965517241,0.649350649350649,0.740740740740741,0.890243902439024,0.701923076923077,0.78494623655914,29.0947570800781
time(tran_to_hour),1,0.999466340936987,0.999482833405625,0.999395211498097,0.838235294117647,0.74025974025974,0.786206896551724,0.85,0.817307692307692,0.833333333333333,29.4284529685974
time(tran_to_hour),2,0.999490065164928,0.999449467818892,0.999412978511456,0.814285714285714,0.74025974025974,0.775510204081633,0.851485148514851,0.826923076923077,0.839024390243902,29.4952850341797
time(tran_to_hour),3,0.999430773791877,0.99934937105869,0.999412968069021,0.779411764705882,0.688311688311688,0.731034482758621,0.888888888888889,0.776699029126214,0.829015544041451,28.683876991272
time(tran_to_hour),4,0.999460417790796,0.999416102232158,0.999288458801765,0.862068965517241,0.649350649350649,0.740740740740741,0.890243902439024,0.701923076923077,0.78494623655914,32.1910498142242
